Input.Number	Input.Sentence	Answer.detect	Answer.detect_agg
9	the only available option is reducing the carbon footprint of humanity	['NoRelation', 'NoRelation', 'NoisySentence']	NoRelation
10	the oceans , trees and plants were preventing any human produced co2	['Relation', 'Relation', 'Relation']	Relation
12	greenhouse effect and global warming : greenhouse effect and global warming is one of the greatest threat to a probabilistic model , that itself is based on assumptions that number of humans to be born ought to be constant and we are random individualss ' existence	['NoisySentence', 'NoRelation', 'NoRelation']	NoRelation
15	if allowed to continue unimpeded ( with the addition of co2 emmissions from human activity ) a planet with organism 's that could die on it will continue to be altered	['NoisySentence', 'NoisySentence', 'NoRelation']	NoisySentence
18	humans generate 130 times more co2 gas	['Relation', 'Relation', 'Relation']	Relation
22	humans have increased atmospheric co2 concentration	['Relation', 'Relation', 'Relation']	Relation
26	human am certain that the emission of green house gases has affected climates and temperatures world wide	['NoisySentence', 'NoisySentence', 'NoRelation']	NoisySentence
30	graph a : argument structuremy argument will follow this basic format : p1 ) the increase of carbon dioxide in the atmosphere is a result of human actions	['Relation', 'Relation', 'Relation']	Relation
32	natural geographic news states global warming is here , global warming 's human caused , and global warming will continue for centuries even if greenhouse gas emissions are stabilized	['NoRelation', 'Relation', 'Relation']	Relation
41	additional confirmation that rising co2 levels are due to human activity comes from examining the ratio of carbon isotopes ( eg	['Relation', 'Relation', 'Relation']	Relation
44	the introduction of co2 from humans small , has shifted the balance that nature has held over the 650,000 years , and plants and other carbon sinks can no longer absorb enough co2 gases in the atmosphere	['NoRelation', 'NoRelation', 'Relation']	NoRelation
46	the increasing co2 trend is wholly the fault of humanity	['Relation', 'Relation', 'Relation']	Relation
47	the increased amount of carbon dioxide in the earths atmosphere is a result of human activity	['Relation', 'Relation', 'Relation']	Relation
50	not only does this empiric disprove that humans are a major cause of increased carbon dioxide , but increased carbon dioxide also disproves that co2 causing warming	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
53	the increase in co2 happened in the past , yet now the increase in co2 heating when humans are dumping billion tons of co2 into the air each year	['NoRelation', 'NoRelation', 'Relation']	NoRelation
60	the minor greenhouse effect of human produced	['Relation', 'Relation', 'NoRelation']	Relation
64	climate change is caused by rising global tempertrues ( ie global warming ) has been linked to the accumulation of greenhouse gases in the atmostphere , humans must severly limit co2 emissions	['Relation', 'Relation', 'Relation']	Relation
66	the main human activity that emits co2 is the combustion of fossil fuels ( coal , natural gas , and oil )	['Relation', 'NoRelation', 'NoisySentence']	NoAgreement
71	additionally oxides of nitrogen ( nox ) , volatile organic compounds ( voc ) , carbon monoxide ( co ) , particulate matter ( pm10 ) and carbon dioxide ( co2 ) all produced from automobiles is responsible for respiratory damage in humans and animals	['Relation', 'Relation', 'Relation']	Relation
72	if co2 causes warming , and humans are omitting extra co2 that we are having an impact on climate	['Relation', 'NoRelation', 'Relation']	Relation
88	the vast majority of the claimed human impact is the result of greenhouse gas emissions	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
101	methane is human contributions to nitrous oxide	['Relation', 'Relation', 'Relation']	Relation
110	more humans are gon na help us save water and reduce carbon emission	['Relation', 'Relation', 'Relation']	Relation
121	humans emit lot 's of co2 in round 1	['Relation', 'Relation', 'Relation']	Relation
134	human created co2 emissions are roughly 22 million tons a day	['Relation', 'Relation', 'Relation']	Relation
135	human contribution to co2 : a ) over 20 % b ) d again	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
140	the universe makes possible carbon based lifeforms such as humans	['Relation', 'Relation', 'Relation']	Relation
147	presidential term limits ( us ) science is a major threat to human existence women are tools for cleaning & cooking , and for pumping out babies shold we spend money to plant 100 billion trees to offset carbon immissions	['Relation', 'Relation', 'NoRelation']	Relation
153	human activity are all greenhouse gases	['NoRelation', 'NoisySentence', 'NoisySentence']	NoisySentence
157	the co2 emissions humans make come from fossil fuels	['Relation', 'NoRelation', 'NoRelation']	NoRelation
165	oxide , methane and other synthetic chemicals emitted is vapour form by humans	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
173	the co2 was released by the burning of other human activities	['Relation', 'Relation', 'NoisySentence']	Relation
174	only by factoring in human carbon output have scientists been able to effectively describe observations about climate change	['NoRelation', 'NoRelation', 'NoisySentence']	NoRelation
176	humans have increased atmospheric c02 emissions	['Relation', 'Relation', 'Relation']	Relation
178	the data provides a direct , empirical causal link between co2 and global warming finally , humans have caused the recent global warming	['Relation', 'Relation', 'Relation']	Relation
182	it , 97 % 98 % of scientist support it % of the 20th century increase in the atmospheric greenhouse gas co2 is directly caused by human actions like burning fossil fuels	['NoisySentence', 'NoisySentence', 'Relation']	NoisySentence
187	because carbon dioxide is the most emitted green house gas by human activity and because carbon dioxide remains in the atmosphere	['NoRelation', 'NoisySentence', 'NoRelation']	NoRelation
190	the blame of global warming on carbon dioxide is the most widely and most abundantly emitted green house gas of human activity	['Relation', 'NoRelation', 'NoisySentence']	NoAgreement
194	humans produce methane	['Relation', 'Relation', 'Relation']	Relation
195	humans produce , while think of the net effect , the most co2	['Relation', 'Relation', 'Relation']	Relation
197	humans our have increased the amount of carbon	['Relation', 'Relation', 'Relation']	Relation
201	suggests that since the industrial revolution when co2 emissions from human activity started , plants have been enjoying greatly increased usage of photosynthesis	['Relation', 'NoRelation', 'NoisySentence']	NoAgreement
211	humans produce very little emissions	['Relation', 'Relation', 'Relation']	Relation
216	the average human in a developed country such as the uk will produce metric tonnes of co2 waste per year	['NoRelation', 'Relation', 'Relation']	Relation
218	greenhouse gases were produced by human activities such as the burning of fossil fuels and deforestation	['Relation', 'Relation', 'Relation']	Relation
219	greenhouse gases were produced by human activities such as deforestation	['Relation', 'Relation', 'Relation']	Relation
220	humans put out at least 90 times more co2	['Relation', 'Relation', 'Relation']	Relation
223	greenhouse gases were produced by human activities	['Relation', 'Relation', 'Relation']	Relation
226	if this is not enough , then the opponent would be satisfied in knowing that humans also release an excessive quantity of methane ; albeit methane does not linger as long as co2 , methane short term effects on the environment are devastating	['Relation', 'Relation', 'Relation']	Relation
227	humans pump tons of co2	['Relation', 'Relation', 'Relation']	Relation
233	about 3/4 of human made carbon dioxide emissions were from burning fossil fuels	['Relation', 'Relation', 'Relation']	Relation
242	a greenhouse effect can eventually make the human race extinct	['Relation', 'Relation', 'Relation']	Relation
252	the harmful emissions are hazardous to humans	['Relation', 'NoRelation', 'NoRelation']	NoRelation
258	climate change am assuming that climate change will be arguing that humans are a major cause to global warming increases with c02 first point , is that c02 emissions are scientifically proven to be a mjor leading cause in the rise of global climate changes	['Relation', 'Relation', 'Relation']	Relation
270	the holocene period was not hot because of human co2 emissions	['NoRelation', 'NoRelation', 'NoRelation']	NoRelation
278	solar activity from 1900 to 1950 raised the temperature of the the earth 's degrees at the effect of co2 emissions over that same period , humans were giving a range of values of 0 degrees c for the effect of that emission on the climate	['Relation', 'Relation', 'Relation']	Relation
282	the elevated levels especially of carbon dioxide and methane are directly related to human activities such as the deforestation of tropical forests	['NoRelation', 'Relation', 'Relation']	Relation
293	the greenhouse effect 's cause warmth , but whether the greenhouse effect 's human contributions cause the warming of the earth	['Relation', 'Relation', 'Relation']	Relation
294	human activities are altering the earth 's carbon cycle both by adding more co2 to the atmosphere and by influencing the ability of natural sinks to remove co2 from the atmosphere	['Relation', 'Relation', 'Relation']	Relation
298	human activities are now causing atmospheric concentrations of greenhouse gases including tropospheric ozone well above pre industrial levels	['Relation', 'Relation', 'Relation']	Relation
301	a human embryo can expell carbon dioxide	['Relation', 'NoRelation', 'NoRelation']	NoRelation
304	human activities are now causing atmospheric concentrations of greenhouse gases including methane well above pre industrial levels	['Relation', 'Relation', 'Relation']	Relation
307	at least some of the increasing co2 trend is due to humans	['Relation', 'Relation', 'NoisySentence']	Relation
