Input.Number	Input.Sentence	Answer.relations	Answer.if_single_relation	Answer.if_positive_agg	Answer.if_negative_agg	Answer.relationtype
10	the oceans , trees and plants were preventing any human produced co2	[[{'concept1': 'the oceans , trees and plants', 'relation': 'preventing', 'concept2': 'human produced co2', 'relationtype': 'negative'}], [{'concept1': 'oceans, trees and plants', 'relation': 'preventing', 'concept2': 'human produced co2', 'relationtype': 'negative'}], [{'concept1': 'oceans', 'relation': 'preventing', 'concept2': 'human produced co2', 'relationtype': 'negative'}, {'concept1': 'trees', 'relation': 'preventing', 'concept2': 'human produced co2', 'relationtype': 'negative'}, {'concept1': 'plants', 'relation': 'preventing', 'concept2': 'human produced co2', 'relationtype': 'negative'}]]	0	0	1	{'positive': {'min': 0, 'max': 0, 'agg': 0}, 'negative': {'min': 1, 'max': 3, 'agg': 1}}
18	humans generate 130 times more co2 gas	[[{'concept1': 'humans', 'relation': 'generate', 'concept2': 'co2 gas', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'generate', 'concept2': '130 times more co2 gas', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'generate', 'concept2': 'more co2 gas', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
22	humans have increased atmospheric co2 concentration	[[{'concept1': 'humans', 'relation': 'increased', 'concept2': 'atmospheric co2 concentration', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'have increased', 'concept2': 'atmospheric co2 concentration', 'relationtype': 'positive'}], [{'concept1': 'humans', 'relation': 'increased', 'concept2': 'concentration', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
30	graph a : argument structuremy argument will follow this basic format : p1 ) the increase of carbon dioxide in the atmosphere is a result of human actions	[[{'concept1': 'human actions', 'relation': 'increase', 'concept2': 'carbon dioxide in the atmosphere', 'relationtype': 'positive'}], [{'concept1': 'human actions', 'relation': 'result', 'concept2': 'the increase of carbon dioxide in the atmosphere', 'relationtype': 'negative'}], [{'concept1': 'the increase of carbon dioxide in the atmosphere', 'relation': 'is a result of', 'concept2': 'human actions', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
32	natural geographic news states global warming is here , global warming 's human caused , and global warming will continue for centuries even if greenhouse gas emissions are stabilized	[nan, [{'concept1': 'human', 'relation': 'caused', 'concept2': 'global warming', 'relationtype': 'positive'}], [{'concept1': 'human', 'relation': 'caused', 'concept2': 'global warming', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
41	additional confirmation that rising co2 levels are due to human activity comes from examining the ratio of carbon isotopes ( eg	[[{'concept1': 'human activity', 'relation': 'increase', 'concept2': 'rising co2 levels', 'relationtype': 'positive'}], [{'concept1': 'rising co2 level', 'relation': 'due to', 'concept2': 'human activity', 'relationtype': 'positive'}], [{'concept1': 'human activity', 'relation': 'rising', 'concept2': 'co2 levels', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
46	the increasing co2 trend is wholly the fault of humanity	[[{'concept1': 'increasing co2', 'relation': 'the fault', 'concept2': 'humanity', 'relationtype': 'negative'}], [{'concept1': 'humanity', 'relation': 'the fault of', 'concept2': 'increasing co2 trend', 'relationtype': 'positive'}], [{'concept1': 'humanity', 'relation': 'increases', 'concept2': 'co2', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
47	the increased amount of carbon dioxide in the earths atmosphere is a result of human activity	[[{'concept1': 'human activity', 'relation': 'increased amount', 'concept2': 'carbon dioxide in the earths atmosphere', 'relationtype': 'positive'}], [{'concept1': 'human activity', 'relation': 'cause', 'concept2': 'carbon dioxide', 'relationtype': 'positive'}], [{'concept1': 'increased amount of carbon dioxide', 'relation': 'is a result', 'concept2': 'human activity', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
60	the minor greenhouse effect of human produced	[[{'concept1': 'human', 'relation': 'produced', 'concept2': 'greenhouse effect', 'relationtype': 'positive'}], [{'concept1': 'human', 'relation': 'produced', 'concept2': 'minor greenhouse effect', 'relationtype': 'positive'}], nan]	1	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 0, 'agg': 0}}
64	climate change is caused by rising global tempertrues ( ie global warming ) has been linked to the accumulation of greenhouse gases in the atmostphere , humans must severly limit co2 emissions	[[{'concept1': 'climate change', 'relation': 'caused by rising', 'concept2': 'tempertrues ( ie global warming )', 'relationtype': 'positive'}, {'concept1': 'humans', 'relation': 'limit', 'concept2': 'co2 emissions', 'relationtype': 'negative'}], [{'concept1': 'climate change', 'relation': 'is caused by', 'concept2': 'rising global temperatures', 'relationtype': 'positive'}], [{'concept1': 'rising global tempertrues', 'relation': 'caused', 'concept2': 'climate change', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
71	additionally oxides of nitrogen ( nox ) , volatile organic compounds ( voc ) , carbon monoxide ( co ) , particulate matter ( pm10 ) and carbon dioxide ( co2 ) all produced from automobiles is responsible for respiratory damage in humans and animals	[[{'concept1': 'oxides of nitrogen ( nox ) , volatile organic compounds ( voc ) , carbon monoxide ( co ) , particulate matter ( pm10 ) and carbon dioxide', 'relation': 'produced', 'concept2': 'respiratory damage in humans and animals', 'relationtype': 'positive'}], [{'concept1': 'oxides of nitrogen ( nox ) , volatile organic compounds ( voc ) , carbon monoxide ( co ) , particulate matter ( pm10 ) and carbon dioxide ( co2 )', 'relation': 'is responsible', 'concept2': 'for respiratory damage in humans and animals', 'relationtype': 'negative'}], [{'concept1': 'oxides of nitrogen ( nox ) , volatile organic compounds ( voc ) , carbon monoxide ( co ) , particulate matter ( pm10 ) and carbon dioxide ( co2 )', 'relation': 'responsible', 'concept2': 'respiratory damage', 'relationtype': 'positive'}]]	1	1	0	{'positive': {'min': 0, 'max': 1, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
72	if co2 causes warming , and humans are omitting extra co2 that we are having an impact on climate	[[{'concept1': 'co2', 'relation': 'causes', 'concept2': 'warming', 'relationtype': 'positive'}, {'concept1': 'humans', 'relation': 'omitting', 'concept2': 'co2', 'relationtype': 'negative'}, {'concept1': 'humans', 'relation': 'impact', 'concept2': 'climate', 'relationtype': 'positive'}], nan, [{'concept1': 'co2 causes warming', 'relation': 'humans are omitting extra co2', 'concept2': 'having an impact on climate', 'relationtype': 'positive'}]]	0	1	0	{'positive': {'min': 1, 'max': 2, 'agg': 1}, 'negative': {'min': 0, 'max': 1, 'agg': 0}}
